Frame,Bbox,Score,Category_ID,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17
3,"[780.64, 254.33, 24.44, 82.07]",0.632,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(785.34, 255.9, 0.75)","(0.0, 0.0, 0.0)","(784.24, 266.32, 0.83)","(796.68, 265.2, 0.88)","(785.33, 279.0, 0.56)","(800.63, 277.79, 0.53)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(789.6, 289.89, 0.85)","(799.0, 289.61, 0.88)","(784.27, 311.2, 0.87)","(796.1, 312.03, 0.92)","(787.19, 331.83, 0.86)","(800.71, 332.02, 1.0)"
3,"[609.82, 255.22, 27.15, 78.27]",0.588,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(617.94, 256.83, 0.59)","(625.53, 256.62, 0.48)","(614.02, 266.51, 0.9)","(629.0, 265.39, 0.76)","(612.69, 279.18, 0.7)","(634.33, 275.67, 0.58)","(612.83, 290.61, 0.53)","(0.0, 0.0, 0.0)","(617.38, 288.89, 0.79)","(626.67, 287.88, 0.68)","(619.99, 310.24, 0.77)","(629.05, 309.44, 0.6)","(624.45, 329.54, 0.76)","(632.41, 327.25, 0.46)"
3,"[503.36, 244.89, 39.57, 80.75]",0.493,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(521.69, 246.33, 0.55)","(509.91, 256.03, 0.61)","(526.84, 254.7, 0.75)","(506.24, 269.51, 0.32)","(531.27, 266.92, 0.7)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(516.2, 282.07, 0.72)","(526.76, 280.95, 0.77)","(519.66, 303.49, 0.48)","(531.78, 300.07, 0.74)","(525.82, 321.3, 0.53)","(538.81, 307.88, 0.64)"
3,"[472.03, 258.43, 33.36, 67.54]",0.466,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(479.19, 263.65, 0.58)","(494.53, 261.61, 0.67)","(477.63, 276.79, 0.51)","(499.39, 273.94, 0.59)","(474.51, 287.21, 0.26)","(0.0, 0.0, 0.0)","(484.25, 285.36, 0.67)","(494.44, 284.23, 0.76)","(485.11, 304.84, 0.63)","(497.54, 302.73, 0.68)","(487.21, 322.35, 0.5)","(501.78, 319.98, 0.64)"
3,"[444.88, 271.67, 32.69, 76.43]",0.457,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(448.41, 276.57, 0.74)","(462.47, 275.13, 0.69)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(455.07, 301.34, 0.77)","(465.2, 299.64, 0.71)","(454.97, 324.48, 0.84)","(467.04, 321.86, 0.66)","(465.81, 343.75, 0.74)","(473.18, 342.79, 0.65)"
3,"[732.94, 259.5, 27.02, 75.35]",0.394,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(746.2, 260.91, 0.51)","(0.0, 0.0, 0.0)","(749.95, 269.7, 0.72)","(0.0, 0.0, 0.0)","(751.54, 281.38, 0.51)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(737.1, 292.02, 0.6)","(748.64, 291.73, 0.65)","(742.84, 311.92, 0.58)","(753.97, 311.74, 0.58)","(747.76, 330.92, 0.52)","(756.11, 329.77, 0.43)"
3,"[644.79, 290.74, 24.85, 73.13]",0.311,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(651.02, 294.0, 0.45)","(0.0, 0.0, 0.0)","(658.13, 306.08, 0.47)","(0.0, 0.0, 0.0)","(660.97, 319.98, 0.48)","(0.0, 0.0, 0.0)","(656.14, 320.1, 0.46)","(655.08, 319.71, 0.38)","(657.68, 338.57, 0.49)","(648.64, 335.52, 0.25)","(665.9, 360.12, 0.65)","(652.94, 357.24, 0.31)"
3,"[642.43, 255.16, 30.54, 34.41]",0.332,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(645.84, 260.61, 0.55)","(663.8, 258.85, 0.78)","(0.0, 0.0, 0.0)","(669.41, 270.98, 0.72)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(655.59, 285.26, 0.49)","(665.99, 283.72, 0.7)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
4,"[167.02, 363.33, 52.44, 94.38]",0.805,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(184.43, 367.12, 0.72)","(193.01, 365.22, 0.72)","(180.62, 378.2, 1.0)","(200.82, 374.84, 0.98)","(174.87, 393.45, 0.99)","(209.35, 387.05, 0.96)","(171.61, 404.75, 0.9)","(215.33, 398.68, 0.93)","(193.13, 405.56, 0.99)","(204.25, 403.38, 0.95)","(197.74, 429.15, 0.9)","(197.88, 427.51, 0.87)","(207.55, 452.26, 0.91)","(196.44, 446.62, 0.76)"
4,"[331.09, 349.51, 42.6, 96.16]",0.786,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(351.13, 351.64, 0.82)","(360.94, 351.88, 0.8)","(345.37, 363.2, 1.0)","(366.35, 364.22, 0.95)","(342.57, 378.65, 0.93)","(369.66, 380.82, 0.93)","(344.41, 394.34, 0.75)","(363.62, 391.77, 0.55)","(347.65, 393.93, 0.94)","(360.57, 394.82, 0.95)","(341.27, 413.72, 0.93)","(359.64, 417.52, 0.95)","(335.94, 437.32, 0.89)","(360.16, 440.95, 0.88)"
4,"[142.77, 259.32, 36.54, 85.4]",0.788,1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(153.19, 261.93, 0.63)","(161.38, 260.87, 0.93)","(149.09, 272.95, 0.98)","(165.69, 270.83, 1.0)","(146.26, 289.34, 0.93)","(169.94, 284.48, 0.94)","(148.87, 301.21, 0.82)","(176.21, 293.67, 0.79)","(155.81, 296.72, 0.92)","(165.71, 295.47, 0.95)","(160.04, 318.43, 0.91)","(168.58, 316.51, 0.92)","(163.81, 340.22, 0.77)","(169.77, 337.85, 0.78)"
